岗位描述,技术栈
"## AIGC方向后端开发1. 参与设计产品系统架构，支撑产品高质量的持续迭代；2. 负责 AIGC 服务中台的后端开发，实现高可用，高扩展的分布式后端；3. 通过软件工程手段保证交付质量和迭代速度任职要求1. 计算机相关专业本科及以上学历，3 年及以上后端开发与系统设计经验；2. 精通 python 或 golang 编程，对设计模式，面向对象编程，网络编程有丰富经验；3. 熟悉分布式系统和容器环境，有 rpc 框架使用经验者优先；4. 熟练使用 tcp/udp、websocket 等协议、熟练使用 grpc, protobuf 等工具进行网络编程；5. 有 k8s 运维经验，具备丰富 devops, mlops 经验；6. 了解模型推理框架（triton，trt，openvino 等）者优先。","技术栈:

1. Python
2. Golang
3. TCP/UDP
4. Websocket
5. gRPC
6. Protobuf
7. Kubernetes (k8s)
8. DevOps
9. MLOps
10. Triton
11. TRT
12. OpenVINO"
一、岗位职责：1、负责安全自动化运营产品交付相关工作，主要包括安装部署、python自动化脚本与程序开发，用于实现与各种常见的安全设备、信息系统联动。2、负责安全自动化运营产品售前、售后相关技术支持工作；3 、 协助为用户提供安全运营自动化解决方案。二、职位要求：1、熟悉Python，有2年以上工作经验，熟练使用Python常用库（如：json、os、sys、requests、selenium、pandas等），熟悉Python面向对象编程、网络编程；了解进程、多线程、协程、异步等原理及使用；2、熟悉Windows、Centos，Mysql，shell脚本。3、良好的沟通能力和执行力。三、优先录用：1、了解主流的网络产品网络安全产品，了解常见安全攻防技术。2、具有安全事件处理经验，如网络攻击、病毒事件、数据泄露等安全事件处理。3、具有信息安全项目实施经验者。,"技术栈:

1. Python
2. Python常用库
3. Windows
4. Centos
5. Mysql
6. shell脚本"
"岗位职责：1、充分理解业务需求，独立负责基于 Python 的数据产品设计、开发等工作。2、参与部门安排的其他数据类工作，包括大数据清洗、指标设计、数据程序开发、模型搭建等。 能力要求：1、计算机或统计、数理类相关专业、本科以上学历，1-3年开发经验，有0-1项目经验者优先；2、熟练使用数据分析工具。3、可以熟练使用python独立进行简单数据产品的开发，掌握一个或多个相关框架.4、熟悉一种或一种以上数据库（mysql，mongodb，redis，pgsql等）,熟练编写SQL语句。5、有前端技术或全栈技术工作经验的优先。6、逻辑思维能力强，较好的沟通能力，能充分理解数据逻辑.7、细心，有责任心，有独立工作的能力。","技术栈：

1. Python
2. 数据分析工具（未指定具体工具）
3. 数据库：mysql、mongodb、redis、pgsql 等
4. 前端技术或全栈技术（未指定具体技术）"
岗位职责:参与数据安全产品的设计并输出相关文档；负责数据安全产品的开发、维护及优化工作；任职要求:1、计算机类相关专业本科及以上学历，3到5年工作经验；2、至少3年以上Python编程经验，基本功扎实，掌握多进程多线程编程能力，对代码有严格要求，有良好的代码风格；3、熟练掌握Django、Flask等主流Web服务框架服务；4、熟练掌握sql语言（包括但不限于mysql），熟练使用git；5、熟练使用C语言，有C语言编程能力及经验者优先；6、熟悉Docker的使用，有制作镜像发布服务经验优先；7、熟练使用kafka、ElasticSearch、redis等组件优先；8、强烈的责任心，良好的团队协作精神，优秀的表达和沟通能力、乐于接受挑战，能承受工作压力；本职位有期权激励，欢迎能吃苦、有自信、有能力、有创业激情的小伙伴加入。,"技术栈：

1. Python
2. Django
3. Flask
4. SQL（包括mysql）
5. Git
6. C语言
7. Docker
8. Kafka
9. ElasticSearch
10. Redis"
岗位职责：1. 负责python后端服务开发，系统模块设计开发、子系统架构设计。2. 按照业务需求对数据库进行设计，搭建框架，按时完成开发任务。3. 对公司产品进行维护，及时响应客户在使用过程中提出的问题。4. 参与项目需求分析、业务逻辑流程设计、文档编写。岗位要求：1. 本科及以上学历，计算机相关专业，3年以上相关工作经验。2. 基础扎实，专业能力强，能独立完成项目开发。3. 熟悉python语言，掌握相关的web框架，Django/Flask/Fastapi等等。熟悉MVC模式，有良好的的编码习惯和较高的代码质量。4. 熟悉分布式系统的设计和应用，熟悉分布式、缓存消息等机制。5. 有数据库设计能力，熟悉MySQL、Postgresql、Oracle、redis、mongodb等常见的关系/非关系型数据库中的一到两种。能够对数据库进行优化。6. 拥有较强的排查问题、分析问题和解决问题的能力，能熟练阅读英文文档。7. 有一定抗压能力，能参与公司项目决策，勇于承担责任。具备团队合作精神，积极的工作态度，良好的沟通和学习能力。,"技术栈：

1. Python
2. Django
3. Flask
4. Fastapi
5. MySQL
6. Postgresql
7. Oracle
8. Redis
9. MongoDB"
"工作职责：1、负责公司的DevOps能力建设，推动公司自动化运维、部署，提升整体维护效率;2、推进产品版本标准化运维工作;3、保障系统层面的稳定运行，有能力处理突发事件、对疑难问题进行跟踪并最终解决;4、运维平台后台开发, 云平台功能开发任职要求1、统招本科毕业;2、熟悉CI/CD流程和工具, 版本控制工具如git、代码检查工具等;3、熟悉Shell、Python;4、熟悉Linux系统管理，熟悉TCP/IP网络协议;5、熟悉自动化运维管理工具（puppet/saltstack/ansible之一），有监控（zabbix,Prometheus之一）经验;6、有web后台开发经验(flask或django等);7、熟悉运维自动化平台，参与过运维体系建设者优先;8、加分项: 熟悉kvm, docker","技术栈:

1. CI/CD
2. Git
3. Shell
4. Python
5. Linux
6. TCP/IP
7. Puppet/SaltStack/Ansible
8. Zabbix/Prometheus
9. Flask/Django
10. KVM
11. Docker"
我们的数据工程部门寻找一名Python开发人员。在我们公司，您将负责使用基于 python 工具包 Anvil 创建数据输入和业务流程界面。使用过React、Angular 或其他基于 JS 的Web UI 开发是一个加分项，包括开发 GUI 和后端服务。 GUI 开发是在 Anvil 开发环境中完成的，不需要之前有 GUI 开发经验。有关更多详细信息，请参见 anvil.works。—工作职责收集并实施用户需求分析 Java 和 SQL 编写的现有后端通过使用 Python 和 SqlAlchemy 实现服务功能编写单元和集成测试使用现有的 Anvil 全栈框架在 Python 中生成 GUI—资格2年以上全栈Python开发经验2年以上面向对象编程经验2年以上SQL经验能够阅读和理解 Java 和 SQL具备一定英文读写能力接受过计算机科学基础的学术培训，包括算法、数据结构、网络、计算机系统、面向对象编程等。—关于我们我们是一家国际公司，总部位于美国加利福尼亚州。 我们在美国、中国和印度。 我们专注于为公司、研究机构和客户提供人工智能研发服务政府。 我们的全球客户主要来自美国和中国。 目前，我们正在为一家全球顶级对冲基金客户项目招聘。—特殊优势我们鼓励创新，在内部有多种形式的研讨，如果你对人工智能感兴趣，可以关注我们的journal club https://space.bilibili.com/2053647497?spm_id_from=333.788.b_765f7570696e666f.2 有机会参与发表学术论文有机会来美国工作有机会了解对冲基金的运作模式支持100%远程工作,"技术栈: 

1. Python
2. Java
3. SQL"
"岗位职责：1、和上下游客户/内部团队沟通通讯需求，定义接口，撰写接口文档，并进行开发和测试工作?；2、负责/协助项目现场和上下游客户联调工作?；3、搭建客户端与机器人通过socket通信, 并解析/转换通信数据；任职要求：1、本科及以上学历， 计算机, 通信与数学专业优先?；2、熟练掌握python网络编程,了解TCP/IP协议；?3、扎实的socket编程能力；4、具有算法基础?；5、强沟通能力和团队协作能力，抗压能力强；?6、思维灵活,对技术保持好奇,乐于专研?；7、良好的文档编写能力或者学习能力；加分项：1、搭建过网页后端?；2、熟悉仓储管理系统 (WMS, WCS)?；3、参与过大型项目开发","技术栈: 

1. Python
2. TCP/IP
3. Socket"
"岗位职责:1、两年实际PYTHON项目经验2、熟悉MVC模式,熟悉Django或者其他Web开发框架优先3、熟悉金融行业基本知识以及有金融工程算法模型开发经验者优先任职资格：1、两年实际Python开发经验,有实际项目经验2、熟悉WINDOWS与LINUX下的环境安装,部署,调试3、熟悉Oracle,Mysql,SqlServer等数据库4、熟悉MVC模式,熟悉Django或者其他Web开发框架5、熟悉pandas,numpy,SciPy,Matplotlib等常用扩展库6、熟悉金融行业基本知识以及有金融工程算法模型开发经验者优先","技术栈: 

1. Python
2. Django
3. MVC
4. Windows
5. Linux
6. Oracle
7. Mysql
8. SqlServer
9. pandas
10. numpy
11. SciPy
12. Matplotlib"
"扁平管理，职业大牛，晋升空间，团队氛围好职位描述：高效地完成产品研发需求，编写易于维护的高质量代码职位要求: 硕士及以上学历，计算机相关专业， 熟练使用Python 语言熟练使用Django rest framework熟练使用MySQL,PG等关系型数据库中的一种熟练使用MongoDB,Redis加分：熟悉Dockergithub活跃分子","技术栈: 

1. Python
2. Django
3. Django rest framework
4. MySQL
5. PG
6. MongoDB
7. Redis
8. Docker"
职责描述：1.负责完成产品业务逻辑的设计和开发；2.负责完成产品的后端系统架构设计；3.负责后端开发团队的管理工作，编制开发计划，控制需求开发进度及质量;4.根据产品的规划进行需求分析细化，进行功能设计开发;5.优化产品性能，完善产品功能，解决研发过程中的关键问题和技术难题;6.根据业务的发展，提前进行技术的预研;7.负责产品后端的核心代码的编写，对团队其他成员的代码进行review。任职要求：1. 本科以上学历，计算机相关专业；5年以上Python工作经验。2. 熟悉python的主流开发框架及Linux环境。3. 能够独立完成软件产品的平台架构设计、算法模块和应用功能开发。4. 有大型分布式、高并发、高负载、高可用性系统设计开发及调优经验。5. 五年以上大规模软件系统的研发工作经验，有APP类产品开发经验者优先。6. 熟悉算法的优先录取。 专业技能或能力：1. 具备良好的问题分析解决能力，能独立承担任务并把控任务进度。2. 责任心强，良好的沟通和团队协作能力，热爱技术，热爱思考。,"技术栈：

1. Python
2. Linux
3. 主流开发框架（未指定具体框架，但可能包括 Django、Flask、Pyramid 等）"
1、熟练掌握python/JAVA语言2、熟练掌握Docker，了解k8s等3、熟悉 mysql/redis/消息队列 等基础中间件4、熟悉网络技术原理优先5、有容器集群开发经验优先6、热爱技术，对新技术有强烈追求优先,"技术栈: 

1. Python
2. JAVA
3. Docker
4. k8s
5. mysql
6. redis
7. 消息队列"
